Designator,Mid X,Mid Y,Rotation,Layer
C1,151.13,-74.93,180.0,top
C10,138.16266848593736,-122.65665813073117,324.0,top
C11,130.54432,-114.98485250946109,300.0,top
C12,126.70501705364066,-104.8776457438988,276.0,top
C13,127.30861051406262,-94.08267029073788,252.0,top
C14,132.25073348410285,-84.46647206369349,228.0,top
C15,140.6768463558935,-77.6917796076895,204.0,top
C2,161.8027483558935,-76.6586693923105,156.0,top
C3,170.84967548410285,-82.57888393630651,132.0,top
C4,176.70648651406265,-91.66698670926212,108.0,top
C5,178.36048505364067,-102.3515622561012,84.0,top
C6,175.52568,-112.7851474905389,60.0,top
C7,168.69223448593735,-121.16368386926882,36.0,top
C8,159.04171400183452,-126.0384457729556,12.0,top
C9,148.24278100183452,-126.5665412270444,348.0,top
D1,152.4,-57.15,0.0,top
D10,126.68439541714382,-136.29449372958857,144.0,top
D11,114.511389,-122.77499973719377,120.0,top
D12,108.88966685165008,-105.4731201928823,96.0,top
D13,110.79127758285618,-87.38050622430515,72.0,top
D14,119.88741387007575,-71.62553607164371,48.0,top
D15,134.6052717312061,-60.93238646329373,24.0,top
D2,170.1947277312061,-60.93238653670627,336.0,top
D3,184.91258587007576,-71.62553592835629,312.0,top
D4,194.00872258285617,-87.38050677569484,288.0,top
D5,195.91033285165008,-105.4731198071177,264.0,top
D6,190.288611,-122.77500026280623,240.0,top
D7,178.11560441714383,-136.29449327041144,216.0,top
D8,161.49613654706806,-143.69395784733857,192.0,top
D9,143.30386354706806,-143.69395715266145,168.0,top
J1,152.4,-46.482,180.0,top
Q1,152.4,-67.31,0.0,top
Q10,132.65629383428762,-128.0748804591771,144.0,top
Q11,123.310207,-117.69500047438753,120.0,top
Q12,118.99400970330016,-104.41111138576458,96.0,top
Q13,120.45401116571237,-90.5201194486103,72.0,top
Q14,127.43776499700667,-78.42390247415682,48.0,top
Q15,138.7377164624122,-70.21400792658746,24.0,top
Q2,166.0622834624122,-70.21400807341254,336.0,top
Q3,177.3622347401515,-78.42390285671257,312.0,top
Q4,184.34598816571236,-90.5201195513897,288.0,top
Q5,185.80599070330015,-104.41111061423541,264.0,top
Q6,181.489793,-117.69499952561247,240.0,top
Q7,172.14370683428766,-128.07488054082287,216.0,top
Q8,159.38375409413612,-133.7559776946771,192.0,top
Q9,145.4162460941361,-133.75597830532288,168.0,top
R1,146.05,-62.23,90.0,top
R10,134.80760218876569,-135.91712374856854,234.0,top
R11,122.0857972115813,-125.734261,210.0,top
R12,114.60559357864689,-111.25732944504976,186.0,top
R13,113.66038636389847,-94.98952220248796,162.0,top
R14,119.41361021493113,-79.74368938977275,138.0,top
R15,130.8704803898812,-68.15597480638169,114.0,top
R2,162.3274926101188,-62.99041980638169,66.0,top
R3,176.88843078506886,-70.30574938977274,42.0,top
R4,187.21509732708455,-82.91110425143145,18.0,top
R5,191.52191742135312,-98.62690144504977,354.0,top
R6,189.0642027884187,-114.735739,330.0,top
R7,180.26691462025133,-128.45225016078328,306.0,top
R8,166.65118254201568,-137.40472835879578,282.0,top
R9,150.57129245798433,-140.04520735879578,258.0,top
